Date,Close,1_day_performance,week_performance,month_performance,3month_performance,6month_performance,1yr_performance,Ticker,quoteType,longName,sector,industry,website
2025-01-08 00:00:00-05:00,71.34,1.39,-0.35,-7.39,-3.46,-3.44,-14.79,CSGP,EQUITY,"CoStar Group, Inc.",Real Estate,Real Estate Services,https://www.costargroup.com
2025-01-08 00:00:00-05:00,358.72,-0.34,4.84,-1.68,26.42,-8.52,31.03,CRWD,EQUITY,"CrowdStrike Holdings, Inc.",Technology,Software - Infrastructure,https://www.crowdstrike.com
2025-01-08 00:00:00-05:00,32.2,0.03,-0.22,-6.99,-5.32,-3.48,-5.68,CSX,EQUITY,CSX Corporation,Industrials,Railroads,https://www.csx.com
2025-01-08 00:00:00-05:00,141.88,0.34,-0.71,-13.14,20.72,8.72,17.08,DDOG,EQUITY,"Datadog, Inc.",Technology,Software - Application,https://www.datadoghq.com
2025-01-08 00:00:00-05:00,80.09,0.93,2.98,1.48,21.94,-28.6,-38.25,DXCM,EQUITY,"DexCom, Inc.",Healthcare,Medical Devices,https://www.dexcom.com
2025-01-08 00:00:00-05:00,170.99,-0.83,4.37,-0.98,-8.74,-14.63,16.92,FANG,EQUITY,"Diamondback Energy, Inc.",Energy,Oil & Gas E&P,https://www.diamondbackenergy.com
2025-01-08 00:00:00-05:00,173.72,2.19,3.56,-1.23,22.23,60.1,68.58,DASH,EQUITY,"DoorDash, Inc.",Communication Services,Internet Content & Information,https://www.doordash.com
2025-01-08 00:00:00-05:00,144.2,-0.32,-1.44,-12.93,2.61,5.27,5.25,EA,EQUITY,Electronic Arts Inc.,Communication Services,Electronic Gaming & Multimedia,https://www.ea.com
2025-01-08 00:00:00-05:00,38.19,1.76,1.46,0.55,-5.41,12.79,9.18,EXC,EQUITY,Exelon Corporation,Utilities,Utilities - Regulated Electric,https://www.exeloncorp.com
2025-01-08 00:00:00-05:00,72.94,0.87,1.43,-10.79,3.69,18.75,19.28,FAST,EQUITY,Fastenal Company,Industrials,Industrial Distribution,https://www.fastenal.com
2025-01-08 00:00:00-05:00,96.04,0.11,1.65,-2.46,24.76,60.47,61.68,FTNT,EQUITY,"Fortinet, Inc.",Technology,Software - Infrastructure,https://www.fortinet.com
2025-01-08 00:00:00-05:00,86.26,3.47,10.34,5.76,-4.0,13.19,12.68,GEHC,EQUITY,GE HealthCare Technologies Inc.,Healthcare,Health Information Services,https://www.gehealthcare.com
2025-01-08 00:00:00-05:00,89.14,-1.64,-3.5,-3.75,6.79,32.18,7.81,GILD,EQUITY,"Gilead Sciences, Inc.",Healthcare,Drug Manufacturers - General,https://www.gilead.com
2025-01-08 00:00:00-05:00,41.62,-4.41,-3.01,-6.01,6.85,-17.19,-28.76,GFS,EQUITY,GlobalFoundries Inc.,Technology,Semiconductors,https://gf.com
2025-01-08 00:00:00-05:00,220.17,-0.21,-2.53,-2.7,9.06,5.46,11.53,HON,EQUITY,Honeywell International Inc.,Industrials,Conglomerates,https://www.honeywell.com
